,text,face
7425, Khatouniyé,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7426, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.89946, color #000000"
7427, Haur.,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7428, Dera'a (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.93688, color #000000"
7429, J.D.,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7430, Entre Soueida et le Tell Hadid (Mt).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.75088, color #000000"
7431, Sud.,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7432, El-Hammé,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.75088, color #000000"
7433,(Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.89946, color #000000"
7434, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7435, Qaryatein,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.75088, color #000000"
7436," (Mt), Sud de Qaryatein (P), Jab. Tias (Advenier), Jab.","Font: 'Times-Roman' (serifed, proportional), size 9.89955, color #000000"
7437, Bilas,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7438, à,"Font: 'Times-Roman' (serifed, proportional), size 9.89946, color #000000"
7439, 'Aïn-el-Beida,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7440,"(P), Jouaif, Raouda (Pb), Deir 'Atiyé-Qaryatein,","Font: 'Times-Roman' (serifed, proportional), size 9.89941, color #000000"
7441, Palmyţe,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7442," à Ouachal (P), 78 km. W. de Soukhné","Font: 'QKXTUK+Times-Roman' (serifed, proportional), size 9.65303, color #000000"
7443,"(Eig, Zoh).","Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7444,Aire géogr. —,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7445," Egypte,","Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7446," Palestine, Liban, Syrie, Iraq.","Font: 'Times-Roman' (serifed, proportional), size 9.84878, color #000000"
7447,AELLENIA Ulbrich. — Genre distinct des,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7448, Salsola,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7449, par la base de ses pé-,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
7450,"rianthes, osseuse, pentagonale, creusée de fossettes. Stigmates larges, aplatis et non","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7451,filiformes.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7452,Aellenia glauca,"Font: 'Times-Roman' (serifed, proportional), size 10.9511, color #000000"
7453, (Bieb.) Aellen —,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
7454, Salsola glauca,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7455, Bieb.,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
7456, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7457," CXLVII, n. 1).","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
7458,—,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7459, S.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7460, Sous-arbrisseau,"Font: 'Times-Italic' (italic, serifed, proportional), size 11.5337, color #000000"
7461," glabre, glauque, pouvant atteindre 1 m., à tronc épais, 1 cm.","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
7462,"ou plus, à branches couchées ou dressées, à rameaux florifères allongés, arrondis,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7463,"paniculés au sommet. Feuilles arrondies, linéaires, un peu obtuses, non dilatées ni","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7464,"décurrentes à la base. Fleurs solitaires, en épis longs, généralement lâches. Feuilles","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7465,"florales linéaires, courtes, dépassant les bractéoles ovales. Sépales connivents, trian-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7466,"gulaires-lancéolés, un peu obtus. Ailes insérées au-dessous du milieu, amples, orbi-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7467,"culaires ou ovales, imbriquées, plus ou moins érodées. Anthères non appendiculées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7468,Floraison et fructification:,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7469, juin-septembre.,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7470,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.8741, color #000000"
7471, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7472," T 4 à Qasr-el-Haïr (Pb),","Font: 'Times-Italic' (italic, serifed, proportional), size 9.75088, color #000000"
7473, Jabal-et-Tar,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7474, près Palmyre (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.89946, color #000000"
7475,"Aire géogr. — Géorgie, Arménie, Azerbeidjan, Iran.","Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7476,Ssp.,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7477, lancifolia,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7478, (Boiss.) Aellen —,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
7479, S. lancifolia,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7480, Boiss.,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
7481, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7482," CXLVII, n. 2). —","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
7483,3.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7484," Sous-arbrisseau généralement très peu élevé, 30-50","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
7485," cm.,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7486," glabre, glauque. Tige","Font: 'Times-Roman' (serifed, proportional), size 10.973, color #000000"
7487,"rigide, anguleuse, rameuse-paniculée au sommet. Feuilles plus ou moins longuement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7488,"décurrentes, planes, lancéolées, atténuées au sommet. Feuilles florales linéaires,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7489,dépassant les bractéoles triangulaires aiguës. Fleurs,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7490, en,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7491, épis lâches. Sépales conni-,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
7492,"vents. Ailes insérées vers le milieu, orbiculaires, crénelées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7493, Anthères,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7494, mutiques.,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
7495,Floraison et fruits:,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7496, avril-juillet.,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7497,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.90193, color #000000"
7498, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7499," 10 km. au N. de Qaryatein (Eig, Zoh), Qaryatein, Qaryatein à Palmyre, Palmyre (Mt),","Font: 'Times-Italic' (italic, serifed, proportional), size 9.75088, color #000000"
7500,10 km. sud de T 4,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7501," (Dlb),","Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7502," Abou Chamate (Pb), Qasr-el-Haïr, Sud de Hijjané (Pb).","Font: 'Times-Roman' (serifed, proportional), size 9.80529, color #000000"
7503,Aire géogr. —,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7504," TransJordanie,","Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7505, Syrie.,"Font: 'Times-Roman' (serifed, proportional), size 9.8741, color #000000"
7506,Aellenia,"Font: 'Times-Roman' (serifed, proportional), size 9.75088, color #000000"
7507, hierochuntica,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
7508, (Bornm.) Aellen —,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000"
7509, Salsola hierochuntica,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7510, Bornm. (PL,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
7511,"CXLVI,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7512, n. 5).,"Font: 'Times-Roman' (serifed, proportional), size 10.9567, color #000000"
7513, —-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7514, .,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
7515, Sous-arbrisseau,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
7516," 30-100 cm., plus ou moins hispide, à rameaux","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
7517,"divariqués dès la base. Feuilles alternes, sessiles, distantes, celles de la tige bientôt","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7518,"caduques, 8-15 mm. de long, subcylindriques, aiguës, triangulaires, lancéolées à la","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7519,"base des ramules, les florales triangulaires-ovales, sessiles, brièvement acuminées,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7520,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7521,435,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
7522,"égalant les bractéoles, celles-ci","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
7523, aiguës-acuminées.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7524, Fleurs solitaires en épis lâches.,"Font: 'Times-Roman' (serifed, proportional), size 10.9715, color #000000"
7525,"Sépales triangulaires, connivents et formant un cône. Ailes de couleur paille, presque","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7526,rondes et presque entières.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7527,Fleurs et fruits: juillet-septembre. Steppes.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7528,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7529, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7530, Qamou'at,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7531, Hermel,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7532," (Dlb,","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
7533," Mt), Sources de","Font: 'Times-Roman' (serifed, proportional), size 9.90409, color #000000"
7534, POronte,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7535, (Thiébaut).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
7536,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7537, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7538," Damas (Dinsm), Mezzé,","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7539, Dmeir,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7540, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
7541, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7542," Imtale à l'est de Damas, Ouadi","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7543, Rijal,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7544," (Eig,","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
7545,"Feinb, Zoh).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7546,"Aire géogr. — Palestine, Liban, Syrie.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7547,"NOAEA Moq. — Fleurs hermaphrodites solitaires, à deux bractées. Sépales 5,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7548,"brièvement soudés à la base, ailés au moment de la fructification. Point de staminodes.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7549,"Étamines 5, insérées sur un disque charnu. Anthères à appendice lancéolé. Akène","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7550,légèrement membraneuse. Sous-arbrisseaux ou herbes annuelles.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7551,Noaea mucronata,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7552, (Forsk.) Asch. et Schweinf. —•,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
7553, Salsola,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7554, mucronata,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
7555, Forsk.,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
7556,"1775,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7557, Anabasis spinosissima,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7558," L.f.,","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
7559, JV.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7560, spinosissima,"Font: 'Times-Roman' (serifed, proportional), size 10.9404, color #000000"
7561, (L.f.) Moq.,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
7562, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7563," CXLVII, n. 3). —","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
7564,S.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7565," Arbrisseau de 30-40 cm. de hauteur, glabre,","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
7566, rameux,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7567, dès la base. Tronc et bran-,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
7568,"ches à rhytidome gris, fissuré. Rameaux dressés ou ascendants, les rameaux jeunes","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7569,"et les ramules vert jaunâtre, flexueux, papilleux-scabres. Feuilles alternes, vertes ou","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7570,"glaucescentes, linéaires, 6-22 mm., droites ou flexueuses, à la fin rigides, aiguës et","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7571,"piquantes, les florales courtes, marginées-scarieuses vers la base, aiguës et mucronées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7572,"Fleurs solitaires à l'aisselle des feuilles inférieures des ramules,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7573," sessiles,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7574, pourvues de,"Font: 'Times-Roman' (serifed, proportional), size 10.9356, color #000000"
7575,deux bractéoles égalant la feuille florale ou un peu plus longues. Périanthe durant,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7576,"l'anthèse long de 4 mm., à 5 sépales membraneux à la marge, subégaux, carénés.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7577,"Étamines 5. Périanthe fructifié à ailes membraneuses, inégales, blanches ou de","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7578,couleur pourpre.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7579,Var.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7580, humilis,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7581," (Boiss.) Dinsm. — Forme montagnarde à tiges courtes, en","Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000"
7582,coussinets.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7583,Floraison: juillet-août. Fruits en automne et hiver. Régions élevées et sèches.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7584,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7585, Sy.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7586," Baalbeck (Letourneux, Mt, Np).","Font: 'Times-Italic' (italic, serifed, proportional), size 9.97346, color #000000"
7587, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7588, Hermel (P).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7589, Me.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7590," Col des Cèdres, en forme non","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7591,montagnarde (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7592,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7593, A.L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7594, Ma'arret-el-Bach,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7595," à Qpuriyé (P), Jab. Ma'loula (Pb).","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
7596, Sy.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7597," Nord d'Alep (Pb), Tell","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7598,Nebi Mend (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7599, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7600, Damas,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7601," (Bl),","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7602," 10 km. S. de Mezzé (Pb),","Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000"
7603, Dimas,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7604," (Bl),","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
7605, Dmeir (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000"
7606, J.D.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7607, Tell,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7608,"Ahmar, Qastal (Mt), Chahba (Pb).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7609, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7610," Jab. Bichri,","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7611," Palmyre,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7612, S. de,"Font: 'Times-Roman' (serifed, proportional), size 9.95641, color #000000"
7613," Qaryatein,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7614," N. de Soukhné,","Font: 'Times-Roman' (serifed, proportional), size 9.99365, color #000000"
7615,"Raouda (Pb), Jab.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7616, el-Hass,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7617," (P),","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
7618, 110,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7619," km. S. de Deir-ez-Zor (Eig, Zoh).","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
7620,Var.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7621, humilis:,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
7622,L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
7623, Mm-Me.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7624," Jab. Sannine (Vt, Np, Mt, Pb), Col des Cèdres (Pb), Les Cèdres (Bl, P, Mt),","Font: 'Times-Italic' (italic, serifed, proportional), size 9.97527, color #000000"
7625,"vers Qprnet Saouada (Eig, Zoh, Mt, Pb), Bcharré (Zoh), Jab. Qarnita à 'Aïn Barqaouiyé (Eig, Zoh),","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7626,"Dimane-Yammouné (Bl), Ehden (Eig, Zoh).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7627, Herm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7628, Hermon,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.90954, color #000000"
7629," (Bl, Pb).","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
7630,"Aire géogr. — Grèce, Afrique du Nord, Asie antérieure.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7631,"GIRGENSOHNIA Bunge. — Fleurs hermaphrodites solitaires, à deux brac-","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7632,"tées. Sépales 5, soudés à la base, dont 2-3, rarement tous, sont ailés lors de la fructi-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7633,fication. Anthères obtuses ou brièvement acuminées. Ovaire glanduleux au sommet.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7634,Girgensohnia,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7635, oppositiflora,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000"
7636, Pali.,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
7637, (PL,"Font: 'Times-Roman' (serifed, proportional), size 10.9149, color #000000"
7638," CXLVII, n. 4). — ©. Plante ligneuse,","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
7639,"10-40 cm. de haut, finement pubescente-scabre. Tige droite, très rameuse dès la","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7640,"base. Feuilles opposées, connées à la base, celle-ci dilatée, subulées, triquètres, lon-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7641,"guement mucronées, souvent arquées, ciliées. Feuilles florales à base ovale, briève-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7642,"ment cuspidées. Bractéoles oblongues-naviculaires, mucronées, dépassant la feuille","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7643,"florale. Fleurs opposées, en épis interrompus. Anthères incluses, apiculées. Sépales","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7644,436 ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7645,NOUVELLE FLORE,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
7646,"aigus, les trois extérieurs portant au moment de la fructification des ailes orbiculaires","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
7647,"ou en triangle irrégulier, entières ou denticulées, souvent","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7648, roses.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7649,Floraison: été. Fruits en automne.,"Font: 'Times-Roman' (serifed, proportional), size 10.9059, color #000000"
7650,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7651, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7652," Damas, 'Adra","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7653," (Dinsm),","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7654," au-dessus de Raboué («Fort Gouraud») (Dbt), 'Adra à","Font: 'Times-Roman' (serifed, proportional), size 9.93831, color #000000"
7655,Dmeir (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7656, St.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7657, Rive gauche de,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
7658, l'Euphrate,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7659," (Gb), Roumane, dans le désert de Palmyre (Advenier).","Font: 'Times-Roman' (serifed, proportional), size 10.0404, color #000000"
7660,"Aire géogr. — Turquie, Caspienne, Aral, Iran, Turkestan, Soungarie, Afghanistan.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7661,"PETROSIMONIA Bunge. — Fleurs hermaphrodites, solitaires, bibractéolées,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7662,"axillaires. Périanthe à sépales libres, les trois intérieurs ou un ou deux d'entre eux","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7663,"parfois avortés, inchangés en fruit. Pas de staminodes, étamines au plus 5, parfois","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7664,une seule. Style à deux bases. Herbes annuelles à pubescence,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7665," apprimée,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7666, bicuspide.,"Font: 'Times-Roman' (serifed, proportional), size 10.9571, color #000000"
7667,"Feuilles parfois opposées à la base, parfois aussi toutes alternes.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7668,Petrosimonia,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7669, brachiata,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
7670, (Pali.),"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000"
7671, Bunge —,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
7672, Polycnemum,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7673, brachiatum,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
7674, Pali.,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
7675, —,"Font: 'Times-Roman' (serifed, proportional), size 10.9149, color #000000"
7676,©.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7677," Plante canescente, à pubescence bicuspide. Tige dressée, souvent élevée, ra-","Font: 'Times-Roman' (serifed, proportional), size 11.0076, color #000000"
7678,"meuse dès la base, à rameaux tous opposés, étalés. Feuilles toutes charnues, opposées,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7679,"à base dilatée, carénées à la face inférieure. Feuilles florales plus courtes, étalées à","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7680,"angle droit, souvent recourbées, à la fin gibbeuses à la base et coriaces. Sépales et","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7681,étamines 5.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7682,Floraison: été. Salines.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
7683,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7684, H.J.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
7685, Lac Khatouniyé (Hd-Mz). Non contrôlé.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
